Anya Gupta,CyberGuard,UI/UX Design,Musique,5,Sensible,Créativité,Orange,Ramen,Limonade,JavaScript
Chen Lee,AutoDrive,Ingénierie Logicielle,Photographie,8,Bavard,Esprit d'équipe,Rose,Salade Composée,Jus d'Orange,C++
Maria Garcia,MediaFlow,Réseaux,Cuisine,11,Indécision,Organisation,Gris,Paella,Vin,Go
Liam Johnson,LearnQuest,Développement Web,Jardinage,2,Narcissisme,Humour,Marron,Lasagnes,Eau,PHP
Sarah Adama,TaskMaster,Gestion de Projet,Lecture,13,Rancunier,Pédagogie,Turquoise,Tajine,Café,Java
Mamadou Keita,AgriTech+,Data Science,Gaming,5,Impatience,Rigueur,Vert,Thieboudienne,Jus d'Orange,Python
Hélène Moreau,EduBoost,Développement Web,Danse,8,Timidité,Empathie,Bleu,Pâtes Carbonara,Café,JavaScript
Ismail Khan,FinTrack,DevOps,Football,1,Procrastination,Curiosité,Rouge,Poulet Yassa,Eau,Python
Aïcha Traoré,SafeCity,Cybersécurité,Voyage,14,Impulsivité,Adaptabilité,Jaune,Couscous,Thé,C#
Arthur Bernard,HealthConnect,Cloud Computing,Coding,3,Perfectionnisme,Leadership,Noir,Pizza,Coca-Cola,Java
Chloé Dubois,EcoMonitor,Développement Mobile,Randonnée,7,Distraction,Optimisme,Blanc,Sushi,Smoothies,Swift
Paul Petit,SmartGrid,Intelligence Artificielle,Lecture,15,Têtu,Persévérance,Violet,Burger,Bière,Python
Manon Leroy,CyberGuard,UI/UX Design,Musique,0,Sensible,Créativité,Orange,Ramen,Limonade,JavaScript 
Dupont,Pierre,AgriTech+,Data,Lecture,5,Procrastination,Créativité,Bleu,Pizza,Eau,Python
Martin,Marie,SafeCity,Dev Web,Football,8,Timidité,Rigueur,Vert,Pâtes Carbonara,Café,JavaScript
Keita,Fatoumata,EduBoost,DevOps,Gaming,3,Impatience,Empathie,Rouge,Thiéboudienne,Thé,PHP
Traoré,Moussa,FinTrack,IA,Coding,10,Bavardage,Organisation,Jaune,Yassa Poulet,Jus d'Orange,Java
Smith,Emily,HealthConnect,Cybersécurité,Danse,7,Perfectionnisme,Curiosité,Noir,Sushi,Coca-Cola,Go
Johnson,David,GreenEnergy,Mobile,Voyage,12,Réticence au changement,Persévérance,Blanc,Burger,Limonade,Rust
Bernard,Sophie,SmartLogistics,Cloud,Randonnée,2,Distraction,Leadership,Violet,Couscous,Smoothie,C#
Diallo,Jean,CyberGuard,UI/UX Design,Cuisine,6,Têtu,Esprit d'équipe,Orange,Lasagnes,Lait,Ruby
Williams,Aïcha,DataInsight,QA Testing,Musique,9,Trop direct,Adaptabilité,Gris,Tacos,Jus de Mangue,Swift
Garcia,Bakary,HRFlow,Réseaux,Photographie,4,Manque de confiance,Optimisme,Rose,Salade Composée,Soda,Kotlin
Dubois,Mariam,EcoSol,Blockchain,Natation,1,Négligence,Honnêteté,Marron,Poulet Rôti,Jus de Pomme,TypeScript
Sissoko,Oumar,MarketPulse,Robotique,Vélo,11,Suspicion,Détermination,Cyan,Tajine,Eau,C++
Brown,Aminata,QuickServe,Data,Jardinage,15,Procrastination,Créativité,Bleu,Paëlla,Café,Python
Miller,Idrissa,TechBridge,Dev Web,Échecs,0,Timidité,Rigueur,Vert,Curry,Thé,JavaScript
Diop,Khadija,InnovateX,DevOps,Lecture,13,Impatience,Empathie,Rouge,Pizza,Jus d'Orange,PHP
Dupont,Aïcha,EduBoost,Dev Web,Coding,5,Impulsif,Communicatif,Gris,Thieboudienne,Eau,JavaScript
Kim,Noah,FinTrack,Data,Gaming,12,Procrastinateur,Responsable,Bleu,Ramen,Café,Python
Diallo,Omar,HealthConnect,IA,Méditation,3,Timide,Empathique,Vert,Mafé,Jus de bissap,Rust
Johnson,Emily,CyberGuard,Cybersécurité,Voyage,8,Distrait,Curieux,Noir,Burger,Eau gazeuse,Go
Moreau,Chloé,MobileFlow,Mobile,Danse,2,Désordonné,Créatif,Rose,Sushi,Limonade,Swift
Silva,Liam,CloudScale,Cloud,Lecture,10,Têtu,Persévérant,Jaune,Pâtes Carbonara,Thé,Java
Wang,Jian,AIInsight,IA,Échecs,6,Perfectionniste,Rigoureux,Blanc,Riz Cantonais,Jus d'orange,C#
Ndiaye,Aminata,SmartGrid,DevOps,Jardinage,7,Susceptible,Loyal,Violet,Yassa,Smoothie,Bash
Garcia,Isabella,AgriTech+,UX/UI,Dessin,1,Naïf,Optimiste,Orange,Crêpes,Lait,TypeScript
Traore,Moussa,SpaceBridge,Embarqué,Football,4,Impatient,Adaptable,Rouge,Tajine,Coca-Cola,C++
Durand,Chloé,AIInnovate,IA,Danse,13,Manque de rigueur occasionnel,Curiosité,Orange,Sushi,Jus de pomme,Python
Diallo,Aminata,CyberGuard,Cybersécurité,Lecture,5,Timidité,Organisation,Noir,Couscous,Thé,Java
Smith,Emily,EduBoost,Mobile,Voyage,9,Impatience,Adaptabilité,Vert,Burger,Limonade,Swift
Traoré,Moussa,SmartLogistics,DevOps,Coding,7,Distraction,Proactivité,Bleu,Mafé,Eau,Go
Dupont,Luc,DataInsight,Data,Gaming,2,Naïveté,Créativité,Rouge,Pizza,Coca-Cola,Python
Ndiaye,Mariam,HealthConnect,Cloud,Bénévolat,11,Procrastination,Empathie,Jaune,Thieboudienne,Smoothie,C#
Koch,Max,FinTrack,Backend Dev,Cyclisme,8,Perfectionnisme,Rigueur,Gris,Lasagnes,Café,PHP
Martinez,Olivia,AgriTech+,Architecture Logicielle,Jardinage,1,Sarcasme,Pédagogie,Violet,Tacos,Jus d'orange,JavaScript
Sylla,Adama,MobilePay,Frontend Dev,Football,4,Bavardage,Esprit d'équipe,Blanc,Poulet Yassa,Eau gazeuse,Kotlin
Moreau,Manon,GreenEnergy,UI/UX,Peinture,6,Susceptibilité,Optimisme,Rose,Paella,Chocolat chaud,TypeScript
Dupont,Fatoumata,EduBoost,Data,Football,14,Rancunier,Méthodique,Bleu,Couscous,Eau,Python
Johnson,Emily,GreenEnergy,Cybersécurité,Danse,8,Impulsif,Loyal,Jaune,Pizza,Jus d'orange,JavaScript
Traoré,Oumar,SafeCity,DevOps,Randonnée,3,Têtu,Persévérant,Vert,Thieboudienne,Café,Go
Rossi,Sofia,FinTrack,Mobile,Musique,11,Procrastination,Organisé,Noir,Pâtes Carbonara,Vin,Swift
Kim,Leo,AI-Innovate,IA,Coding,5,Timidité,Curieux,Blanc,Sushi,Thé,Python
Dupont,Antoine,AgriTech+,Data,Lecture,5,Procrastination,Rigueur,Bleu,Pizza,Eau,Python
Diallo,Fatou,SafeCity,Dev Web,Football,8,Impulsivité,Créativité,Vert,Thieboudienne,Jus de bissap,JavaScript
Smith,Emily,EduBoost,IA,Gaming,3,Timidité,Esprit d'équipe,Rouge,Sushi,Thé,Python
García,Diego,FinTrack,Cybersécurité,Voyage,12,Manque de patience,Adaptabilité,Noir,Tacos,Café,Java
Chen,Mei,HealthConnect,Mobile,Danse,6,Perfectionnisme,Curiosité,Rose,Riz Cantonais,Smoothie,Kotlin
Ndour,Amadou,SmartLogistics,DevOps,Coding,10,Têtu,Persévérance,Orange,Maffé,Soda,Go
Johnson,Sarah,GreenEnergy,Cloud,Jardinage,7,Désordonné,Organisation,Jaune,Lasagnes,Limonade,C#
Kone,Aminata,RoboAdvisor,Data,Musique,4,Bavard,Sens de l'humour,Violet,Poulet Yassa,Karkadé,R
Williams,Michael,CodeCraft,Dev Web,Randonnée,11,Anxiété,Optimisme,Gris,Burger,Bière,PHP
Li,Jian,DataInsight,IA,Échecs,9,Sarcasme,Logique,Blanc,Curry,Eau,Python
Traoré,Mariam,EcoSense,DevOps,Randonnée,2,Distraction,Optimisme,Vert,Sushi,Lait,Java
Smith,Michael,HealthConnect,IA,Coding,7,Impatience,Rigueur,Bleu,Pâtes Carbonara,Jus d'orange,JavaScript
Ndiaye,Olivia,InnovateX,Mobile,Danse,4,Perfectionnisme,Créativité,Rose,Thieboudienne,Eau,Kotlin
Garcia,Jacob,AgriTech+,Data,Gaming,1,Timidité,Curiosité,Noir,Pizza,Cola,Python
Diallo,Fatoumata,AgriTech+,Dev Web,Danse,7,Impatience,Créativité,Bleu,Thieboudienne,Jus d'orange,Python
Smith,John,FinTrack,Data,Football,3,Têtu,Rigueur,Vert,Pizza,Café,JavaScript
Thomas,Léa,SafeCity,IA,Lecture,10,Perfectionnisme,Adaptabilité,Rouge,Sushi,Thé,Java
Ndiaye,Bakary,EduBoost,Mobile,Coding,5,Distrait,Esprit d'équipe,Noir,Yassa,Cola,Kotlin
Garcia,Emily,HealthConnect,Cybersécurité,Voyage,12,Procrastination,Leadership,Violet,Tacos,Eau gazeuse,Go
Diallo,Marie,SafeCity,Dev Web,Football,5,Têtu,Créatif,Bleu,Pizza,Café,JavaScript
Smith,Fatou,EduBoost,IA,Lecture,8,Impatience,Rigoureux,Vert,Thieboudienne,Jus d'orange,Python
Garcia,Thomas,FinTrack,Data,Gaming,3,Procrastination,Autonome,Rouge,Sushi,Eau,R
Kim,Sophie,HealthConnect,Mobile,Danse,10,Timidité,Empathique,Violet,Yassa Poulet,Smoothies,Swift
Dupont,Moussa,AgriTech+,DevOps,Randonnée,12,Désordonné,Persévérant,Noir,Couscous,Coca-Cola,Go
Ndiaye,Julie,GreenEnergy,Cloud,Cuisine,7,Bavard,Organisé,Blanc,Burger,Thé,Java
Traoré,Pierre,SmartLogistics,Cybersécurité,Voyage,15,Gourmand,Optimiste,Gris,Tacos,Limonade,C#
Martin,Aïcha,CyberGuard,UI/UX,Photographie,2,Distrait,Curieux,Rose,Salade Composée,Lait,TypeScript
Perez,Liam,AutoDrive,Blockchain,Coding,6,Sensible,Fiable,Jaune,Poulet Rôti,Jus de pomme,Rust
Williams,Aminata,DataPulse,Embarqué,Musique,1,Perfectionnisme,Esprit d'équipe,Orange,Pâtes Carbonara,Chocolat chaud,C++
Dupont,Marie,AgriTech+,Data,Lecture,5,Procrastination,Créativité,Bleu,Pizza,Café,Python
Smith,Bob,SafeCity,Dev Web,Gaming,2,Timidité,Rigueur,Vert,Burger,Jus d'Orange,JavaScript
Diop,Aïcha,EduBoost,IA,Danse,8,Impatience,Empathie,Rouge,Couscous,Thé,Java
Williams,Charlie,FinTrack,DevOps,Coding,10,Entêtement,Persévérance,Noir,Sushi,Eau,Go
Sow,Fatoumata,HealthConnect,Mobile,Voyage,3,Distraction,Curiosité,Jaune,Thiéboudienne,Jus de bissap,Kotlin
Durand,Marie,AgriTech+,Dev Web,Lecture,7,Procrastination,Rigueur,Bleu,Pizza,Café,JavaScript
Diallo,Amadou,SafeCity,IA,Coding,3,Impulsivité,Créativité,Vert,Couscous,Thé,Python
Kim,Sarah,EduBoost,Mobile,Voyage,10,Perfectionnisme,Adaptabilité,Rouge,Sushi,Eau,Swift
Garcia,Liam,FinTrack,Cybersécurité,Gaming,5,Timidité,Esprit d'équipe,Noir,Burger,Coca-Cola,C#
Chen,Anya,HealthConnect,Cloud,Musique,2,Désorganisation,Autonomie,Violet,Ramen,Jus d'orange,Go
Martin,Bob,SafeCity,Développeur Web Fullstack,Gaming,8,Impatience,Esprit d'équipe,Vert,Pizza,Cola,JavaScript
Diallo,Fatou,EduBoost,Expert IA,Danse,3,Timidité,Empathie,Rouge,Yassa,Jus de fruits,Python
Smith,David,FinTrack,Analyste Cybersécurité,Coding,10,Perfectionnisme,Organisation,Noir,Sushi,Café,Java
Garcia,Maria,HealthConnect,Développeur Mobile,Voyage,6,Trop émotif,Créativité,Rose,Tacos Mexicains,Smoothies,Swift
Khan,Omar,GreenEnergy,Architecte Cloud,Randonnée,12,Entêtement,Détermination,Gris,Curry Indien,Thé,Go
Ndiaye,Aminata,SmartLogistics,Ingénieur DevOps,Cuisine,7,Distrait,Adaptabilité,Jaune,Mafé,Eau pétillante,Bash
Tanaka,Kenji,CyberGuard,Spécialiste Frontend,Photographie,4,Susceptible,Curiosité,Violet,Ramen,Limonade,TypeScript
Williams,Chloe,DataInsight,UI/UX Designer,Fitness,2,Indécis,Optimisme,Orange,Salade Composée,Boisson Énergisante,HTML/CSS
Müller,Lena,MobileSphere,Ingénieur Machine Learning,Musique,9,Hyper-analytique,Patience,Blanc,Lasagnes,Lassi,R
Dupont,Jean,AgriTech+,Dev Web,Lecture,5,Impatience,Créativité,Bleu,Pizza,Café,Python
Diallo,Fatou,SafeCity,IA,Danse,2,Timide,Empathie,Vert,Thieboudienne,Bissap,Java
Garcia,Maria,EduBoost,Mobile,Photographie,10,Perfectionnisme,Rigueur,Rouge,Sushi,Jus d'orange,JavaScript
Schmidt,Lucas,FinTrack,Data,Gaming,7,Procrastination,Curiosité,Noir,Burger,Coca-Cola,R
Konaté,Aïcha,HealthConnect,Cloud,Cuisine,3,Distrait,Adaptabilité,Jaune,Yassa,Eau,Go
Smith,Liam,EcoSmart,DevOps,Voyage,8,Têtu,Leadership,Vert,Pâtes carbonara,Thé,Rust
Ndiaye,Aminata,CyberGuard,Cybersécurité,Musique,4,Indécision,Détermination,Violet,Mafé,Jus de gingembre,PHP
Chen,Wei,AeroPilot,IA,Coding,12,Scepticisme,Honnêteté,Gris,Riz Cantonais,Smoothie,Python
Kim,Olivia,QuantumLeap,Data,Yoga,6,Timide,Optimisme,Rose,Kimchi,Eau de coco,Python
Ivanov,Alex,DataSense,Big Data,Échecs,9,Autoritaire,Logique,Marron,Borscht,Kombucha,C++
Martin,Sophie,InnovateX,UI/UX Design,Peinture,1,Impulsivité,Créativité,Bleu clair,Salade,Limonade,JavaScript
Traoré,Moussa,WebFlow,Dev Web,Football,11,Paresse,Esprit d'équipe,Orange,Thieboudienne,Jus d'ananas,PHP
Müller,Lena,MobilePulse,Mobile,Randonnée,0,Négativisme,Persévérance,Blanc,Curry Indien,Jus de fruits,Kotlin
Johnson,Noah,GreenEnergy,Cloud,Jardinage,14,Rancunier,Loyauté,Cyan,Lasagnes,Eau,Java
Wang,Mei,SmartLogistics,Tests QA,Bénévolat,7,Impatience,Organisation,Vert,Dim Sum,Thé vert,Python
Diop,Aïcha,HealthConnect,Cybersécurité,Lecture,8,Impatience,Rigueur,Vert,Yassa,Thé,Python
Martin,Sophie,EduBoost,Dev Web,Danse,3,Procrastination,Créativité,Bleu,Pâtes Carbonara,Eau,JavaScript
Traoré,Omar,AgriTech+,Data,Foot,10,Timidité,Écoute,Rouge,Tiep Bou Dien,Bissap,Java
Smith,John,FinTrack,Cloud,Gaming,5,Étourderie,Optimisme,Noir,Pizza,Café,Go
Kim,Min-ji,SafeCity,IA,Voyage,7,Perfectionnisme,Persévérance,Jaune,Sushi,Jus d'orange,Python
Dubois,Marie,SmartGrid,DevOps,Cuisine,4,Bavardage,Autonomie,Violet,Couscous,Coca-Cola,C#
Garcia,David,CyberGuard,Mobile,Coding,6,Impatience,Esprit d'équipe,Orange,Tacos,Gingembre,Kotlin
Wang,Li,GreenPulse,Blockchain,Natation,2,Procrastination,Rigueur,Blanc,Nouilles sautées,Eau,Rust
Müller,Lena,EcoMonitor,UX/UI,Randonnée,9,Timidité,Créativité,Bleu,Currywurst,Thé,JavaScript
Diallo,Fatoumata,LogisticsPro,Data,Musique,1,Étourderie,Écoute,Vert,Mafé,Jus d'orange,Python
Durand,Pierre,AgriTech+,Développement Web,Lecture,7,Impatience,Créativité,Bleu,Pizza,Café,JavaScript
Diallo,Fatou,SafeCity,Cybersécurité,Football,4,Timidité,Rigueur,Vert,Thieboudienne,Jus d'orange,Python
Johnson,Alex,EduBoost,Data Science,Jeux vidéo,10,Procrastination,Persévérance,Rouge,Burger,Coca-Cola,Java
Sylla,Aïcha,FinTrack,Développement Mobile,Danse,2,Bavardage,Empathie,Jaune,Yassa,Thé,Kotlin
Garcia,Liam,HealthConnect,Cloud Computing,Randonnée,8,Distraction,Adaptabilité,Noir,Sushi,Eau,Go
Müller,Sophie,GreenEnergy,Intelligence Artificielle,Cuisine,5,Perfectionnisme,Curiosité,Blanc,Lasagnes,Smoothies,Python
Konaté,Moussa,SmartLogistics,DevOps,Coding,12,Têtu,Esprit d'équipe,Violet,Couscous,Bière,Rust
Williams,Olivia,CyberGuard,Réseaux,Voyage,6,Sensibilité excessive,Optimisme,Orange,Tajine,Limonade,C#
Kim,Noah,AutoDriveX,UX/UI Design,Musique,3,Curiosité intrusive,Pédagogie,Gris,Ramen,Lait,TypeScript
Tanaka,Emily,CodeQuest,Ingénierie Logicielle,Peinture,9,Organisation excessive,Proactivité,Rose,Curry Indien,Café,C++
Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré
Hernandez,Khadija,EcoFarm,DevOps,Lecture,13,Entêtement,Organisation,Gris,Yassa au poulet,Thé,Java
Johnson,Emily,CyberGuard,Développement Mobile,Vélo,3,Impatience,Curiosité,Rose,Couscous,Coca-Cola,C++
Smith,Aminata,AgriTech+,Cloud Computing,Randonnée,10,Bavardage,Rigueur,Gris,Pâtes Carbonara,Eau,TypeScript
Thomas,Mamado,RoboAssist,Développement Web,Gaming,7,Tendance à l'oubli,Adaptabilité,Bleu,Sushi,Milkshake,Go
Dubois,Sophie,QuantumLeap,Data Science,Jardinage,1,Timidité,Empathie,Noir,Curry Indien,Café,Python
Camara,Mamadou,HealthConnect,Réseaux,Voyage,9,Trop critique,Optimisme,Vert,Burger,Jus d'orange,PHP
Sow,Aminata,AIInnovate,Intelligence Artificielle,Échecs,14,Perfectionnisme,Créativité,Blanc,Lasagnes,Limonade,JavaScript
Coulibaly,Moussa,FinTrack,Blockchain,Coding,11,Distraction facile,Persévérance,Rouge,Thiéboudienne,Smoothie,Rust
Hernandez,Rama,EduBoost,UI/UX Design,Photographie,5,Sensibilité excessive,Sens de l'humour,Orange,Paella,Soda,Swift
Ndiaye,Aissatou,SafeCity,Ingénierie Logicielle,Danse,6,Procrastination,Esprit d'équipe,Jaune,Pizza,Thé,C#
"Diop","Lucas","AgriTech+","Dev Web","Gaming",7,"Procrastination","Créatif","Bleu","Pizza","Café","JavaScript"
"Ndiaye","Aminata","SafeCity","IA","Voyage",3,"Timidité","Empathique","Vert","Couscous","Thé","Python"
"Smith","Daniel","EduBoost","Cloud","Lecture",10,"Impatience","Rigoureux","Noir","Burger","Eau","Java"
"Traoré","Fatoumata","FinTrack","Cybersécurité","Musique",5,"Désordonné","Curieux","Rouge","Thiéboudienne","Jus d'orange","C#"
"Garcia","Maria","HealthConnect","Mobile","Danse",8,"Sensible","Communicatif","Rose","Tacos","Smoothies","Swift"
"Martin","Chloé","GreenEnergy","Data","Jardinage",2,"Distrait","Organisé","Jaune","Salade Composée","Limonade","SQL"
"Koné","Mamadou","SmartLogistics","DevOps","Football",6,"Têtu","Esprit d'équipe","Orange","Poulet Yassa","Biere","Go"
"Chen","Wei","CyberGuard","Blockchain","Coding",4,"Perfectionnisme","Persévérant","Blanc","Ramen","Eau","Rust"
"Dubois","Antoine","AutoDrive","Embarqué","Vélo",12,"Cynisme","Analytique","Violet","Pâtes Carbonara","Vin","C++"
"Akira","Yuki","AIArtist","UI/UX","Dessin",1,"Impulsif","Créatif","Bleu","Sushi","Thé","Python"
Dubois,Antoine,AgriTech+,Dev Web,Lecture,8,Procrastination,Créativité,Bleu,Pizza,Eau,Python
Traoré,Fatou,SafeCity,IA,Danse,4,Impatience,Rigueur,Vert,Thieboudienne,Bissap,Java
Smith,John,EduBoost,Cybersécurité,Gaming,10,Perfectionnisme,Persévérance,Noir,Burger,Cola,C#
Ndiaye,Mariam,FinTrack,Data,Voyage,6,Timidité,Empathie,Jaune,Mafé,Jus de mangue,R
Garcia,Emily,HealthConnect,Mobile,Musique,3,Entêtement,Sens de l'humour,Rouge,Sushi,Limonade,Swift
Dupont,Lucas,GreenEnergy,Cloud,Randonnée,12,Bavardage,Esprit d'équipe,Blanc,Couscous,Café,Go
Koné,Moussa,SmartLogistics,DevOps,Football,7,Désorganisation,Curiosité,Orange,Yassa,Ginger beer,Bash
Johnson,Sarah,CyberGuard,QA,Cuisine,5,Susceptibilité,Adaptabilité,Rose,Pâtes Carbonara,Thé,TypeScript
Miller,David,AIInnovate,UI/UX,Coding,9,Naïveté,Optimisme,Violet,Tacos,Smoothie,JavaScript
Chen,Léa,DataInsight,Blockchain,Dessin,2,Indécision,Ponctualité,Gris,Riz cantonais,Eau de coco,Rust
Kouassi,Fatou,AgriTech+,Développement Mobile,Natation,8,Perfectionnisme,Optimisme,Blanc,Sushi,Eau Plate,Java
Khan,Alex,CyberGuard,Cybersécurité,Gaming,12,Têtu,Détermination,Noir,Hamburger,Café,Python
Ngoc,Yasmine,FinTrack,Data Science,Lecture,3,Distrait,Créativité,Violet,Ramen,Thé,R
Patel,Hugo,EcoBuild,Développement Web,Randonnée,6,Indécis,Adaptabilité,Vert,Pizza,Jus d'orange,JavaScript
Ivanov,Alex,SafeCity,Intelligence Artificielle,Écriture,9,Sensible,Curiosité,Bleu,Curry Indien,Smoothie,Go
Diallo,Moussa,HealthConnect,Cloud Computing,Football,1,Impatience,Leadership,Orange,Poulet Yassa,Coca-Cola,C#
Kim,Chloé,DeepLearning Hub,Machine Learning,Danse,4,Procrastination,Esprit d'équipe,Rose,Lasagnes,Limonade,Python
Schmidt,Marc,SmartLogistics,DevOps,Vélo,11,Trop critique,Rigueur,Gris,Steak Frites,Eau gazeuse,Bash
Rossi,Clara,AI_Artistry,UI/UX Design,Peinture,7,Bavard,Empathie,Jaune,Paella,Jus de mangue,TypeScript
Sow,Adama,RoboFarm,Big Data Engineering,Jardinage,5,Timidité,Fiabilité,Marron,Couscous,Infusion,Scala
Smith,Aminata,EduBoost,IA,Gaming,7,Procrastination,Esprit d'équipe,Vert,Pâtes Carbonara,Thé,Python
Johnson,Lucas,AgriTech+,DevOps,Football,3,Impatience,Rigueur,Bleu,Burger,Jus d'orange,JavaScript
