Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré
Leroy,Jessica,CodePilot,Dev Web,Voyage,9,Impulsivité,Esprit d'équipe,Rouge,Lasagnes bolognaise,Bissap,JavaScript
Santos,Daniel,FutureHome,Business Analyst,Écriture,2,Indécision,Pédagogie,Bleu,Tacos,Eau gazeuse,SQL
Keita,Fanta,QuantumLeap,IA,Coding,11,Procrastination,Rigueur,Noir,Pizza,Café,Python
Diop,Amadou,WaterWatch,Cybersécurité,Gaming,6,Susceptible,Humour,Violet,Kebab,Ginger Beer,C++
Durand,Olivia,MediaFlow,SRE,Randonnée,4,Colérique,Persévérance,Blanc,Crêpes,Limonade maison,Shell
Costa,Maria,HealthConnect,Blockchain,Football,14,Négligence,Patience,Marron,Fondue,Sodabi,Java
Moreau,Chris,DataHarvest,Product Management,Photographie,1,Têtu,Logique,Argenté,Choucroute,Lait froid,PHP
Johnson,Mia,GlobalEdu,ERP Consultant,Jardinage,13,Naïveté,Optimisme,Doré,Raclette,Kombucha,Dart
Cissé,Mariam,SecureNet,Réseaux,Pêche,0,Pessimisme,Honnêteté,Gris,Jollof Rice,Ataya,R
Dubois,Fatou,AgriTech+,Développeur Web Frontend,Photographie,13,Pessimiste,Loyal,Vert,Burger,Jus de mangue,Swift
Ndiaye,Jean,GreenEnergy,Expert en IA,Échecs,14,Susceptible,Curieux,Jaune,Chawarma,Thé glacé,SQL
Konaté,Moussa,SmartLogistics,Ingénieur Big Data,Jardinage,15,Rêveur,Fiable,Noir,Sushi,Eau,Python
Traoré,Aminata,CyberShield,Analyste Cybersécurité,Cinéma,1,Susceptible,Poli,Marron,Tajine,Eau pétillante,TypeScript
Jones,Mariam,RoboAssist,Architecte Cloud,Gaming,4,Orgueilleux,Loyal,Orange,Pizza,Café,Python
Rodriguez,Modou,WebPro,Spécialiste Réseaux,Randonnée,0,Timide,Optimiste,Rose,Thieboudienne,Smoothie,PHP
Sow,Sophie,SpaceNav,Testeur QA,Pêche,6,Impatience,Collaboratif,Bleu,Couscous,Jus d'orange,Kotlin
Camara,Lucas,AI-Sense,Scrum Master,Yoga,10,Désordonné,Pédagogue,Gris,Grillades,Eau pétillante,Go
Thomas,Chris,BioGenius,Ingénieur DevOps,Pêche,7,Naïf,Créatif,Blanc,Ramen,Chocolat chaud,Shell Script
Johnson,Robert,EduBoost,Développeur Mobile Android,Pêche,11,Rêveur,Persévérant,Rouge,Sushi,Lait,C++
Smith,Lisa,UrbanFlow,Développeur Web Frontend,Randonnée,12,Procrastination,Analytique,Violet,Couscous,Eau pétillante,JavaScript
Garcia,Modou,GreenEnergy,Développeur Web Backend,Danse,10,Impatience,Créatif,Rose,Tajine,Eau,Ruby
Moreau,Robert,DeepLearnX,Ingénieur DevOps,Course à pied,13,Procrastination,Pédagogue,Vert,Couscous,Jus de mangue,Go
Richard,Anna,FinTrack,Analyste Cybersécurité,Escalade,1,Désordonné,Loyal,Orange,Salade composée,Eau pétillante,R
Bangoura,Sarah,SmartLogistics,UX/UI Designer,Musique,10,Orgueilleux,Loyal,Marron,Thieboudienne,Smoothie,Python
Kone,Mariam,AgriTech+,Développeur Web Frontend,Pêche,13,Rêveur,Poli,Rose,Sushi,Jus de mangue,Rust
Williams,David,SecureNet,Spécialiste Réseaux,Cyclisme,12,Distrait,Organisé,Gris,Yassa poulet,Jus d'orange,TypeScript
Bernard,Modou,BioGenius,Chef de Projet IT,Gaming,1,Orgueilleux,Rigoureux,Orange,Yassa poulet,Smoothie,Kotlin
Moreau,Jessica,EcoSolutions,Développeur Web Backend,Pêche,14,Distrait,Loyal,Violet,Couscous,Jus d'orange,C#
Richard,John,DataInsight,Architecte Cloud,Pêche,6,Exigeant,Analytique,Marron,Lasagnes,Thé glacé,PHP
Kone,Moussa,UrbanFlow,Administrateur Système,Course à pied,14,Procrastination,Pédagogue,Bleu,Tajine,Coca-Cola,Java
Thomas,Fatou,MobileCare,Ingénieur Big Data,Natation,3,Désordonné,Autonome,Rose,Salade composée,Jus de mangue,Go
Petit,Oumar,RoboAssist,Testeur QA,Photographie,1,Timide,Fiable,Rouge,Paella,Jus d'orange,Swift
Sissoko,Emily,SafeCity,Développeur Mobile iOS,Pêche,8,Impatience,Curieux,Jaune,Chawarma,Thé vert,Ruby
Durand,Antoine,AgriTech+,Analyste Cybersécurité,Cinéma,1,Pessimiste,Pédagogue,Marron,Poisson braisé,Coca-Cola,C++
Martinez,Mariam,EduBoost,Développeur Web Frontend,Course à pied,11,Naïf,Fiable,Bleu,Yassa poulet,Coca-Cola,JavaScript
Sow,Léa,HealthConnect,Développeur Mobile Android,Yoga,7,Susceptible,Autonome,Vert,Paella,Thé glacé,C#
Johnson,Anna,WebPro,Scrum Master,Escalade,8,Distrait,Organisé,Rose,Grillades,Lait,Python
Martin,Chris,AI-Sense,Ingénieur Big Data,Cyclisme,5,Désordonné,Rigoureux,Bleu,Ramen,Chocolat chaud,JavaScript
Dubois,Sophie,EcoSolutions,Développeur Mobile iOS,Course à pied,8,Impatience,Curieux,Blanc,Couscous,Coca-Cola,PHP
Garcia,Jessica,DeepLearnX,Développeur Web Frontend,Pêche,12,Rêveur,Optimiste,Jaune,Thieboudienne,Eau,Ruby
Petit,Manon,SecureNet,Expert en IA,Escalade,11,Timide,Adaptable,Bleu,Pizza,Thé glacé,Swift
Rodriguez,Michael,SpaceNav,Architecte Cloud,Voyage,12,Têtu,Rigoureux,Gris,Yassa poulet,Smoothie,C++
Diallo,David,SmartLogistics,Ingénieur Big Data,Pêche,13,Impatience,Organisé,Violet,Lasagnes,Jus d'orange,Java
Leroy,Khadija,FinTrack,Analyste Cybersécurité,Natation,9,Susceptible,Créatif,Orange,Paella,Thé vert,C#
Moreau,John,CyberShield,Chef de Projet IT,Jardinage,15,Timide,Pédagogue,Rouge,Sushi,Eau pétillante,TypeScript
Bangoura,Sarah,UrbanFlow,Administrateur Système,Gaming,0,Procrastination,Organisé,Marron,Pizza,Coca-Cola,Python
Sissoko,Fatou,AgriTech+,Développeur Mobile Android,Échecs,14,Têtu,Fiable,Rose,Ramen,Lait,Kotlin
Touré,Anna,HealthConnect,UX/UI Designer,Photographie,12,Désordonné,Poli,Blanc,Grillades,Eau,PHP
Brown,Jean,MobileCare,Testeur QA,Cyclisme,11,Naïf,Analytique,Vert,Salade composée,Jus de mangue,Rust
Kone,Moussa,DeepLearnX,Développeur Web Backend,Musique,1,Orgueilleux,Empathique,Jaune,Burger,Boisson énergisante,Go
Davis,Emily,BioGenius,Ingénieur DevOps,Escalade,7,Rêveur,Persévérant,Noir,Thieboudienne,Thé glacé,Shell Script
Johnson,Oumar,SafeCity,Spécialiste Réseaux,Coding,2,Perfectionniste,Loyal,Rouge,Chawarma,Jus d'orange,SQL
Smith,Antoine,EduBoost,Développeur Web Frontend,Lecture,13,Impatience,Créatif,Bleu,Couscous,Eau pétillante,JavaScript
Williams,Manon,GreenEnergy,Expert en IA,Peinture,1,Têtu,Optimiste,Violet,Yassa poulet,Smoothie,Python
Bernard,Chris,FinTrack,Analyste Cybersécurité,Pêche,15,Distrait,Fiable,Orange,Sushi,Café,TypeScript
Jones,Mariam,RoboAssist,Architecte Cloud,Pêche,4,Orgueilleux,Pédagogue,Marron,Pizza,Eau,C#
Garcia,Sophie,WebPro,Spécialiste Réseaux,Voyage,0,Susceptible,Adaptable,Rose,Thieboudienne,Jus de mangue,Ruby
Miller,Coumba,SpaceNav,Testeur QA,Jardinage,6,Procrastination,Rigoureux,Gris,Couscous,Lait,Swift
Rodriguez,Jean,AI-Sense,Scrum Master,Escalade,10,Naïf,Organisé,Rouge,Grillades,Chocolat chaud,C++
Sow,Aminata,CyberShield,Ingénieur Big Data,Gaming,7,Orgueilleux,Collaboratif,Bleu,Ramen,Coca-Cola,Java
Camara,Lucas,UrbanFlow,Administrateur Système,Course à pied,14,Timide,Empathique,Vert,Salade composée,Thé glacé,Python
Thomas,Fatou,MobileCare,Développeur Mobile Android,Pêche,3,Perfectionniste,Autonome,Jaune,Paella,Jus d'orange,Kotlin
Petit,Emily,HealthConnect,UX/UI Designer,Escalade,1,Désordonné,Curieux,Noir,Chawarma,Eau pétillante,PHP
Robert,David,DeepLearnX,Développeur Web Backend,Musique,8,Susceptible,Persévérant,Orange,Yassa poulet,Eau,Rust
Richard,Michael,BioGenius,Ingénieur DevOps,Lecture,14,Impatience,Pédagogue,Blanc,Lasagnes,Smoothie,Go
Durand,Sarah,SafeCity,Spécialiste Réseaux,Photographie,2,Rêveur,Loyal,Marron,Tajine,Boisson énergisante,Shell Script
Leroy,Khadija,EduBoost,Développeur Web Frontend,Pêche,13,Naïf,Créatif,Bleu,Thieboudienne,Jus de mangue,SQL
Moreau,John,GreenEnergy,Expert en IA,Danse,1,Désordonné,Fiable,Rose,Burger,Lait,TypeScript
Bangoura,Aminata,FinTrack,Analyste Cybersécurité,Jardinage,15,Têtu,Poli,Gris,Sushi,Chocolat chaud,C#
Kone,Modou,RoboAssist,Architecte Cloud,Yoga,4,Timide,Analytique,Rouge,Pizza,Coca-Cola,Ruby
Sissoko,Aminata,WebPro,Spécialiste Réseaux,Course à pied,0,Procrastination,Optimiste,Vert,Couscous,Thé glacé,Swift
Touré,Oumar,SpaceNav,Testeur QA,Pêche,6,Orgueilleux,Rigoureux,Jaune,Grillades,Eau pétillante,C++
Brown,Jean,AI-Sense,Scrum Master,Pêche,10,Naïf,Empathique,Violet,Ramen,Jus d'orange,Java
Davis,Michael,CyberShield,Ingénieur Big Data,Gaming,7,Susceptible,Collaboratif,Orange,Salade composée,Eau,Python
Johnson,Oumar,UrbanFlow,Administrateur Système,Cyclisme,14,Impatience,Autonome,Marron,Paella,Smoothie,Kotlin
Smith,Antoine,MobileCare,Développeur Mobile Android,Pêche,3,Têtu,Curieux,Rose,Chawarma,Lait,PHP
Williams,Emily,HealthConnect,UX/UI Designer,Lecture,1,Perfectionniste,Persévérant,Blanc,Yassa poulet,Chocolat chaud,Rust
Bernard,Fatou,DeepLearnX,Développeur Web Backend,Musique,8,Rêveur,Pédagogue,Vert,Lasagnes,Coca-Cola,Go
Jones,Mariam,BioGenius,Ingénieur DevOps,Escalade,14,Distrait,Loyal,Jaune,Tajine,Thé glacé,Shell Script
Garcia,Sophie,SafeCity,Spécialiste Réseaux,Photographie,2,Impatience,Créatif,Noir,Thieboudienne,Jus d'orange,SQL
Miller,Coumba,EduBoost,Développeur Web Frontend,Coding,13,Orgueilleux,Fiable,Rouge,Burger,Eau pétillante,JavaScript
Rodriguez,David,GreenEnergy,Expert en IA,Peinture,1,Naïf,Poli,Bleu,Sushi,Eau,TypeScript
Sow,Aminata,FinTrack,Analyste Cybersécurité,Danse,15,Susceptible,Analytique,Violet,Pizza,Smoothie,C#
Camara,Lucas,RoboAssist,Architecte Cloud,Voyage,4,Procrastination,Optimiste,Orange,Couscous,Lait,Ruby
Thomas,Fatou,WebPro,Spécialiste Réseaux,Jardinage,0,Timide,Rigoureux,Marron,Grillades,Chocolat chaud,Swift
Petit,Emily,SpaceNav,Testeur QA,Yoga,6,Orgueilleux,Empathique,Rose,Ramen,Coca-Cola,C++
Robert,David,AI-Sense,Scrum Master,Course à pied,10,Désordonné,Collaboratif,Gris,Salade composée,Thé glacé,Java
Richard,Michael,CyberShield,Ingénieur Big Data,Pêche,7,Naïf,Autonome,Bleu,Paella,Jus d'orange,Python
Durand,Sarah,UrbanFlow,Administrateur Système,Gaming,14,Impatience,Curieux,Vert,Chawarma,Eau pétillante,Kotlin
Leroy,Khadija,MobileCare,Développeur Mobile Android,Pêche,3,Têtu,Persévérant,Jaune,Yassa poulet,Eau,PHP
Moreau,John,HealthConnect,UX/UI Designer,Escalade,1,Perfectionniste,Pédagogue,Noir,Lasagnes,Smoothie,Rust
Bangoura,Aminata,DeepLearnX,Développeur Web Backend,Lecture,8,Rêveur,Loyal,Orange,Tajine,Lait,Go
Kone,Modou,BioGenius,Ingénieur DevOps,Musique,14,Distrait,Créatif,Blanc,Thieboudienne,Chocolat chaud,Shell Script
Sissoko,Aminata,SafeCity,Spécialiste Réseaux,Photographie,2,Susceptible,Fiable,Marron,Burger,Coca-Cola,SQL
Touré,Oumar,EduBoost,Développeur Web Frontend,Coding,13,Impatience,Poli,Rose,Sushi,Thé glacé,JavaScript
Brown,Jean,GreenEnergy,Expert en IA,Peinture,1,Orgueilleux,Analytique,Gris,Pizza,Jus d'orange,TypeScript
Davis,Michael,FinTrack,Analyste Cybersécurité,Danse,15,Naïf,Optimiste,Rouge,Couscous,Eau pétillante,C#
Johnson,Oumar,RoboAssist,Architecte Cloud,Voyage,4,Procrastination,Rigoureux,Bleu,Grillades,Eau,Ruby
Smith,Antoine,WebPro,Spécialiste Réseaux,Jardinage,0,Timide,Empathique,Vert,Ramen,Smoothie,Swift
Williams,Emily,SpaceNav,Testeur QA,Yoga,6,Orgueilleux,Collaboratif,Jaune,Salade composée,Lait,C++
Bernard,Fatou,AI-Sense,Scrum Master,Course à pied,10,Désordonné,Autonome,Violet,Paella,Chocolat chaud,Java
Jones,Mariam,CyberShield,Ingénieur Big Data,Gaming,7,Susceptible,Curieux,Orange,Chawarma,Coca-Cola,Python
Garcia,Sophie,UrbanFlow,Administrateur Système,Cyclisme,14,Impatience,Persévérant,Marron,Yassa poulet,Thé glacé,Kotlin
Miller,Coumba,MobileCare,Développeur Mobile Android,Pêche,3,Têtu,Pédagogue,Rose,Lasagnes,Jus d'orange,PHP
Rodriguez,David,HealthConnect,UX/UI Designer,Escalade,1,Perfectionniste,Loyal,Gris,Tajine,Eau pétillante,Rust
Sow,Aminata,DeepLearnX,Développeur Web Backend,Lecture,8,Rêveur,Créatif,Bleu,Thieboudienne,Eau,Go
Camara,Lucas,BioGenius,Ingénieur DevOps,Musique,14,Distrait,Fiable,Vert,Burger,Smoothie,Shell Script
Thomas,Fatou,SafeCity,Spécialiste Réseaux,Photographie,2,Susceptible,Poli,Jaune,Sushi,Lait,SQL
Petit,Emily,EduBoost,Développeur Web Frontend,Coding,13,Impatience,Analytique,Noir,Pizza,Chocolat chaud,JavaScript
Robert,David,GreenEnergy,Expert en IA,Peinture,1,Orgueilleux,Optimiste,Rouge,Couscous,Coca-Cola,TypeScript
Richard,Michael,FinTrack,Analyste Cybersécurité,Danse,15,Naïf,Rigoureux,Bleu,Grillades,Thé glacé,C#
Durand,Sarah,RoboAssist,Architecte Cloud,Voyage,4,Procrastination,Empathique,Violet,Ramen,Jus d'orange,Ruby
Leroy,Khadija,WebPro,Spécialiste Réseaux,Jardinage,0,Timide,Collaboratif,Orange,Salade composée,Eau pétillante,Swift
Moreau,John,SpaceNav,Testeur QA,Yoga,6,Orgueilleux,Autonome,Marron,Paella,Eau,C++
Dupont,Marie,FinTrack,Dev Web,Lecture,5,Impatient,Créatif,Bleu,Pizza,Café,Python
Martin,Jean,CyberShield,Cybersécurité,Gaming,8,Perfectionniste,Organisé,Vert,Burger,Eau,Java
Diallo,Aïcha,EduBoost,Mobile,Danse,3,Têtu,À l'écoute,Rouge,Couscous,Thé,Kotlin
Smith,Alex,HealthCareX,Data,Voyage,10,Procrastinateur,Curieux,Jaune,Sushi,Jus d'orange,R
Garcia,Sofia,SmartLogistics,Cloud,Randonnée,6,Bavard,Rigoureux,Noir,Pâtes,Coca-Cola,Go
Silva,Pierre,AgriTech+,IA,Cuisine,7,Timide,Patient,Blanc,Poulet Yassa,Limonade,Python
Dubois,Fatima,ArtConnect,UI/UX Design,Photographie,4,Distrait,Empathique,Gris,Tajine,Smoothies,JavaScript
Traoré,Chris,MediaPulse,DevOps,Musique,9,Rancunier,Persévérant,Violet,Thieboudienne,Bière,Shell
Johnson,Léa,QuantumLeap,Architecte Logiciel,Peinture,12,Rigide,Optimiste,Orange,Lasagnes,Vin,Java
Lee,David,UrbanFlow,Chef de Projet,Jardinage,11,Trop émotif,Adaptable,Rose,Ramen,Lait,Python
Müller,Aminata,BioGenius,Data,Fitness,2,Maniaque,Leadership,Marron,Curry,Tisane,R
Leroy,Liam,SpaceVoyage,Mobile,Yoga,1,Naïf,Autonome,Turquoise,Tacos,Chocolat chaud,Swift
Chen,Chloé,OceanClean,Dev Web,Échecs,5,Indécis,Ingénieux,Indigo,Pizza,Café,JavaScript
Kim,Paul,MindCraft,IA,Cinéma,7,Colérique,Loyal,Cyan,Sushi,Eau,Python
Ndiaye,Mariam,FutureFab,Cybersécurité,Écriture,4,Pessimiste,Positif,Magenta,Couscous,Thé,Java
