Nom,Prénom,Projet,Spécialité,Hobby,Nombre d'années d'expérience,Défaut,Qualité,Couleur préférée,Plat préféré,Boisson préférée,Langage préféré
Moreno,Emma,GreenWave,Cloud,Gaming,11,Maladroit,Fiable,Gris,Pâtes carbonara,Smoothie fruits rouges,Go
Rousseau,Lucas,DigiTalent,DevOps,Coding,14,Trop sensible,Communicatif,Cyan,Paella,Tisane verveine,Rust
Davies,Inès,MediTrack,UI/UX Design,Voyages,0,Naïf,Patient,Magenta,Ramen,Soda,TypeScript
Khan,Adam,E-Wallet,Machine Learning,Musique,5,Indécis,Logique,Marron,Soupe Pho,Cidre,Python
Ahmed,Manon,GlobalConnect,Big Data,Cuisine,8,Colérique,Adaptable,Or,Poulet Yassa,Lait,Scala
Wong,Nathan,SmartGrid,Embarqué,Randonnée,3,Gourmand,Honnête,Argent,Thieboudienne,Chocolat chaud,C++
Bakayoko,Juliette,TechSphere,Robotique,Photographie,10,Procrastination,Déterminé,Bleu,Lasagnes,Eau de coco,Java
Diop,Samira,MindSync,Fullstack Dev,Dessin,2,Impatience,Enthousiaste,Vert,Steak-frites,Jus de mangue,PHP
Fall,Ibrahim,AlphaCode,Frontend Dev,Natation,7,Têtu,Autonome,Rouge,Kebab,Café,JavaScript
Gomis,Fatima,OmniLearn,Backend Dev,Jardinage,4,Distrait,Ingénieux,Jaune,Fondue,Thé vert,Ruby
Keita,Youssouf,RoboChef,Analyste SEO,Échecs,9,Bavard,Organisé,Noir,Raclette,Coca-Cola,Python
Kone,Khadija,SmartCampus,Product Owner,Cinéma,6,Timide,Empathe,Blanc,Choucroute,Eau,Go
Sagna,Mohamed,AgriTech+,Scrum Master,Écriture,1,Perfectionnisme,Rigoureux,Violet,Cassoulet,Jus d'orange,C#
Sy,Mariam,SafeCity,DBA,Course à pied,11,Rancunier,Optimiste,Orange,Blanquette,Bière blonde,SQL
Touré,Oumar,EduBoost,Data,Yoga,14,Impulsif,Persévérant,Rose,Pizza,Vin rouge,Python
Gaye,Sokhna,FinTrack,Dev Web,Méditation,0,Maladroit,Loyal,Gris,Couscous,Milkshake vanille,JavaScript
Chung,Maya,HealthConnect,IA,Bénévolat,5,Trop sensible,Curieux,Cyan,Hamburger maison,Smoothie fruits rouges,Java
Gonzales,Leo,GreenEnergy,Cybersécurité,Sports de combat,8,Naïf,Fiable,Magenta,Sushi,Tisane verveine,C#
Sato,Zoe,SmartLogistics,Mobile,Bricolage,3,Indécis,Communicatif,Marron,Tajine,Soda,Kotlin
Ivanov,Ryan,CyberGuard,Cloud,Pêche,10,Colérique,Patient,Or,Pâtes carbonara,Cidre,Go
Dupont,Chloe,DataDrive,DevOps,Lecture,2,Gourmand,Logique,Argent,Paella,Lait,Rust
Diallo,Jean,AIFrontier,UI/UX Design,Danse,7,Procrastination,Adaptable,Bleu,Ramen,Chocolat chaud,TypeScript
Smith,Fatou,BioInsight,Machine Learning,Gaming,4,Impatience,Honnête,Vert,Soupe Pho,Eau de coco,Python
Lee,David,EcoSmart,Big Data,Coding,9,Têtu,Déterminé,Rouge,Poulet Yassa,Jus de mangue,Scala
Benali,Amina,UrbanFlow,Embarqué,Voyages,6,Distrait,Enthousiaste,Jaune,Thieboudienne,Café,C++
Müller,Alex,SecureNet,Robotique,Musique,1,Bavard,Autonome,Noir,Lasagnes,Thé vert,Java
Garcia,Sophie,EduGamify,Fullstack Dev,Cuisine,11,Timide,Ingénieux,Blanc,Steak-frites,Coca-Cola,PHP
Petrov,Ali,MarketPulse,Frontend Dev,Randonnée,14,Perfectionnisme,Organisé,Violet,Kebab,Eau,JavaScript
Kim,Lena,ConnectMe,Backend Dev,Photographie,0,Rancunier,Empathe,Orange,Fondue,Jus d'orange,Ruby
Traoré,Marc,FutureFarm,Analyste SEO,Dessin,5,Impulsif,Rigoureux,Rose,Raclette,Bière blonde,Python
Dubois,Anna,SafeHome,Product Owner,Natation,8,Maladroit,Optimiste,Gris,Choucroute,Vin rouge,Go
Johnson,Omar,AutoPilot,Scrum Master,Jardinage,3,Trop sensible,Persévérant,Cyan,Cassoulet,Milkshake vanille,C#
Wang,Chloé,VisionAI,DBA,Échecs,10,Naïf,Loyal,Magenta,Blanquette,Smoothie fruits rouges,SQL
Sow,Pierre,OceanWatch,Data,Cinéma,2,Indécis,Curieux,Marron,Pizza,Tisane verveine,Python
Costa,Sarah,AeroSense,Dev Web,Écriture,7,Colérique,Fiable,Or,Couscous,Soda,JavaScript
Schmidt,Moussa,QuantumLink,IA,Course à pied,4,Gourmand,Communicatif,Argent,Hamburger maison,Cidre,Java
Novak,Aïcha,GreenWave,Cybersécurité,Yoga,9,Procrastination,Patient,Bleu,Sushi,Lait,C#
Rossi,Guillaume,DigiTalent,Mobile,Méditation,6,Impatience,Logique,Vert,Tajine,Chocolat chaud,Kotlin
Chen,Laura,MediTrack,Cloud,Bénévolat,1,Têtu,Adaptable,Rouge,Pâtes carbonara,Eau de coco,Go
Akintola,Karim,E-Wallet,DevOps,Sports de combat,11,Distrait,Honnête,Jaune,Paella,Jus de mangue,Rust
Ndiaye,Léa,GlobalConnect,UI/UX Design,Bricolage,14,Bavard,Déterminé,Noir,Ramen,Café,TypeScript
Koulibaly,Sofia,SmartGrid,Machine Learning,Pêche,0,Timide,Enthousiaste,Blanc,Soupe Pho,Thé vert,Python
Martin,Jules,TechSphere,Big Data,Lecture,5,Perfectionnisme,Autonome,Violet,Poulet Yassa,Coca-Cola,Scala
Leblanc,Clara,MindSync,Embarqué,Danse,8,Rancunier,Ingénieux,Orange,Thieboudienne,Eau,C++
Moreno,Noah,AlphaCode,Robotique,Gaming,3,Impulsif,Organisé,Rose,Lasagnes,Jus d'orange,Java
Rousseau,Emma,OmniLearn,Fullstack Dev,Coding,10,Maladroit,Empathe,Gris,Steak-frites,Bière blonde,PHP
Davies,Lucas,RoboChef,Frontend Dev,Voyages,2,Trop sensible,Rigoureux,Cyan,Kebab,Vin rouge,JavaScript
Khan,Inès,SmartCampus,Backend Dev,Musique,7,Naïf,Optimiste,Magenta,Fondue,Milkshake vanille,Ruby
Ahmed,Adam,AgriTech+,Analyste SEO,Cuisine,4,Indécis,Persévérant,Marron,Raclette,Smoothie fruits rouges,Python
Wong,Manon,SafeCity,Product Owner,Randonnée,9,Colérique,Loyal,Or,Choucroute,Tisane verveine,Go
Bakayoko,Nathan,EduBoost,Scrum Master,Photographie,6,Gourmand,Curieux,Argent,Cassoulet,Soda,C#
Diop,Juliette,FinTrack,DBA,Dessin,1,Procrastination,Fiable,Bleu,Blanquette,Cidre,SQL
Fall,Samira,HealthConnect,Data,Natation,11,Impatience,Communicatif,Vert,Pizza,Lait,Python
Gomis,Ibrahim,GreenEnergy,Dev Web,Jardinage,14,Têtu,Patient,Rouge,Couscous,Chocolat chaud,JavaScript
Keita,Fatima,SmartLogistics,IA,Échecs,0,Distrait,Logique,Jaune,Hamburger maison,Eau de coco,Java
Kone,Youssouf,CyberGuard,Cybersécurité,Cinéma,5,Bavard,Adaptable,Noir,Sushi,Jus de mangue,C#
Sagna,Khadija,DataDrive,Mobile,Écriture,8,Timide,Honnête,Blanc,Tajine,Café,Kotlin
Sy,Mohamed,AIFrontier,Cloud,Course à pied,3,Perfectionnisme,Déterminé,Violet,Pâtes carbonara,Thé vert,Go
Touré,Mariam,BioInsight,DevOps,Yoga,10,Rancunier,Enthousiaste,Orange,Paella,Coca-Cola,Rust
Gaye,Oumar,EcoSmart,UI/UX Design,Méditation,2,Impulsif,Autonome,Rose,Ramen,Eau,TypeScript
Chung,Sokhna,UrbanFlow,Machine Learning,Bénévolat,7,Maladroit,Ingénieux,Gris,Soupe Pho,Jus d'orange,Python
Gonzales,Maya,SecureNet,Big Data,Sports de combat,4,Trop sensible,Organisé,Cyan,Poulet Yassa,Bière blonde,Scala
Sato,Leo,EduGamify,Embarqué,Bricolage,9,Naïf,Empathe,Magenta,Thieboudienne,Vin rouge,C++
Ivanov,Zoe,MarketPulse,Robotique,Pêche,6,Indécis,Rigoureux,Marron,Lasagnes,Milkshake vanille,Java
Dupont,Ryan,ConnectMe,Fullstack Dev,Lecture,1,Colérique,Optimiste,Or,Steak-frites,Smoothie fruits rouges,PHP
Diallo,Chloe,FutureFarm,Frontend Dev,Danse,11,Gourmand,Persévérant,Argent,Kebab,Tisane verveine,JavaScript
Smith,Jean,SafeHome,Backend Dev,Gaming,14,Procrastination,Loyal,Bleu,Fondue,Soda,Ruby
Lee,Fatou,AutoPilot,Analyste SEO,Coding,0,Impatience,Curieux,Vert,Raclette,Cidre,Python
Benali,David,VisionAI,Product Owner,Voyages,5,Têtu,Fiable,Rouge,Choucroute,Lait,Go
Müller,Amina,OceanWatch,Scrum Master,Musique,8,Distrait,Communicatif,Jaune,Cassoulet,Chocolat chaud,C#
Garcia,Alex,AeroSense,DBA,Cuisine,3,Bavard,Patient,Noir,Blanquette,Eau de coco,SQL
Petrov,Sophie,QuantumLink,Data,Randonnée,10,Timide,Logique,Blanc,Pizza,Jus de mangue,Python
Diawara,Fanta,EduBoost,Développement Mobile,Natation,8,Perfectionnisme,Créatif,Bleu,Curry,Bissap,Swift
Gomis,Anta,ConnectAfrica,Développement Web,Lecture,4,Rêveur,Organisé,Vert,Pizza,Jus d'orange,JavaScript
Ndiaye,Amadou,GreenEnergy,Cloud Computing,Voyage,12,Têtu,Rigoureux,Jaune,Thieboudienne,Ataya,Python
Chen,David,DataInsight,Data Science,Échecs,6,Timide,Logique,Noir,Sushi,Thé vert,Python
Traoré,Mariam,HealthNet,IA,Danse,3,Impulsif,Empathique,Rouge,Maffé,Limonade,Python
Dupont,Louis,AgriTech+,DevOps,Jardinage,10,Procrastination,Déterminé,Blanc,Couscous,Café,Go
Silva,Isabelle,SafeCity,Cybersécurité,Photographie,7,Désordonné,Curieux,Gris,Tacos,Eau,C#
Kim,Jules,UrbanFlow,UI/UX Design,Gaming,2,Introverti,Créatif,Orange,Burger,Coca-Cola,JavaScript
Diallo,Aminata,FinTrack,Backend Dev,Cuisine,9,Impatience,Fiable,Violet,Poulet Yassa,Bissap,Java
Johnson,Alexandre,CyberGuard,Cloud Computing,Musique,11,Bavard,Communicatif,Rose,Salade Composée,Jus de mangue,Kotlin
Sow,Moussa,RoboFarm,Intelligence Artificielle,Football,5,Distrait,Optimiste,Marron,Thieboudienne,Ataya,Python
Garcia,Sofia,SkillBridge,Frontend Dev,Yoga,1,Indécis,Adaptable,Turquoise,Pâtes Carbonara,Smoothie,TypeScript
Wang,Leo,E-GovConnect,Gestion de Projet,Course à pied,13,Émotif,Collaboratif,Bleu,Riz Cantonais,Eau gazeuse,SQL
Mbaye,Fatou,EcoSense,Blockchain,Lecture,0,Pessimiste,Innovant,Vert,Maffé,Bissap,Go
Smith,Emma,QuantumLeap,Data Science,Cinéma,8,Procrastination,Organisé,Jaune,Pizza,Jus d'orange,Python
Müller,Paul,BioInnovate,Développement Web,Pêche,6,Impatience,Curieux,Noir,Sushi,Thé vert,JavaScript
Lee,Chloé,AeroDrone,DevOps,Peinture,4,Têtu,Déterminé,Rouge,Burger,Café,Go
Dubois,Lucas,MediCarePro,IA,Natation,10,Perfectionnisme,Logique,Blanc,Couscous,Eau,Python
Leroy,Manon,FutureLab,Cybersécurité,Vélo,7,Timide,Empathique,Gris,Tacos,Coca-Cola,C#
Moreau,Théo,ConnectAfrica,Développement Mobile,Bricolage,3,Rêveur,Créatif,Orange,Poulet Yassa,Jus de mangue,Swift
Fournier,Anna,GreenEnergy,Cloud Computing,Lecture,9,Désordonné,Fiable,Violet,Salade Composée,Bissap,Kotlin
Roux,Hugo,DataInsight,Data Science,Football,5,Méfiant,Optimiste,Marron,Thieboudienne,Ataya,Python
Mercier,Inès,HealthNet,Développement Web,Gaming,1,Impulsif,Adaptable,Turquoise,Pâtes Carbonara,Smoothie,TypeScript
Faure,Arthur,AgriTech+,DevOps,Danse,14,Introverti,Communicatif,Bleu,Riz Cantonais,Eau gazeuse,Go
Martin,Alice,SafeCity,Cybersécurité,Voyage,11,Bavard,Collaboratif,Vert,Paella,Eau,C#
Petit,Gabriel,UrbanFlow,UI/UX Design,Musique,8,Distrait,Organisé,Jaune,Lasagnes,Jus d'orange,JavaScript
Durand,Lina,FinTrack,Backend Dev,Cuisine,2,Indécis,Curieux,Noir,Crêpes,Thé vert,Java
Bernard,Noah,CyberGuard,Cloud Computing,Randonnée,10,Émotif,Déterminé,Rouge,Tajine,Café,Kotlin
André,Zoé,RoboFarm,Intelligence Artificielle,Photographie,7,Pessimiste,Logique,Blanc,Gratin Dauphinois,Eau,Python
Lopez,Ethan,SkillBridge,Frontend Dev,Échecs,4,Procrastination,Empathique,Gris,Soupe Pho,Coca-Cola,TypeScript
Hernandez,Jade,E-GovConnect,Gestion de Projet,Jardinage,12,Impatience,Créatif,Orange,Chawarma,Jus de mangue,SQL
Gonzales,Adam,EcoSense,Blockchain,Course à pied,9,Têtu,Fiable,Violet,Kebab,Bissap,Go
Oumar,Mia,QuantumLeap,Data Science,Cinéma,6,Perfectionnisme,Optimiste,Marron,Pizza,Ataya,Python
Kone,Raphaël,BioInnovate,Développement Web,Pêche,3,Timide,Adaptable,Turquoise,Sushi,Smoothie,JavaScript
Cissé,Lola,AeroDrone,DevOps,Peinture,1,Rêveur,Communicatif,Bleu,Burger,Eau gazeuse,Go
Sylla,Tom,MediCarePro,IA,Natation,15,Désordonné,Collaboratif,Vert,Couscous,Eau,Python
Diop,Eva,FutureLab,Cybersécurité,Vélo,12,Méfiant,Organisé,Jaune,Tacos,Jus d'orange,C#
Ndiaye,Gaspard,ConnectAfrica,Développement Mobile,Bricolage,9,Impulsif,Curieux,Noir,Poulet Yassa,Thé vert,Swift
Ouédraogo,Romane,GreenEnergy,Cloud Computing,Lecture,6,Introverti,Déterminé,Rouge,Salade Composée,Café,Kotlin
Sow,Mohamed,DataInsight,Data Science,Football,3,Bavard,Logique,Blanc,Thieboudienne,Eau,Python
Fall,Aïcha,HealthNet,Développement Web,Gaming,0,Distrait,Empathique,Gris,Pâtes Carbonara,Coca-Cola,JavaScript
Diakité,Ahmed,AgriTech+,DevOps,Danse,10,Indécis,Créatif,Orange,Riz Cantonais,Jus de mangue,Go
Coulibaly,Fanta,SafeCity,Cybersécurité,Voyage,7,Émotif,Fiable,Violet,Paella,Bissap,C#
Sanogo,Ousmane,UrbanFlow,UI/UX Design,Musique,4,Pessimiste,Optimiste,Marron,Lasagnes,Ataya,JavaScript
Dialy,Aminata,FinTrack,Backend Dev,Cuisine,11,Procrastination,Adaptable,Turquoise,Crêpes,Smoothie,Java
Diarra,Sekou,CyberGuard,Cloud Computing,Randonnée,8,Impatience,Communicatif,Bleu,Tajine,Eau gazeuse,Kotlin
Konaté,Mariam,RoboFarm,Intelligence Artificielle,Photographie,5,Têtu,Collaboratif,Vert,Gratin Dauphinois,Eau,Python
Touré,Ibrahim,SkillBridge,Frontend Dev,Échecs,2,Perfectionnisme,Organisé,Jaune,Soupe Pho,Jus d'orange,TypeScript
Camara,Kadidiatou,E-GovConnect,Gestion de Projet,Jardinage,9,Timide,Curieux,Noir,Chawarma,Thé vert,SQL
Doucouré,Oumar,EcoSense,Blockchain,Course à pied,6,Rêveur,Déterminé,Rouge,Kebab,Café,Go
Sissoko,Amina,QuantumLeap,Data Science,Cinéma,3,Désordonné,Logique,Blanc,Pizza,Eau,Python
Maiga,Daouda,BioInnovate,Développement Web,Pêche,0,Méfiant,Empathique,Gris,Sushi,Coca-Cola,JavaScript
Tall,Assétou,AeroDrone,DevOps,Peinture,13,Impulsif,Créatif,Orange,Burger,Jus de mangue,Go
Thiam,Drissa,MediCarePro,IA,Natation,10,Introverti,Fiable,Violet,Couscous,Bissap,Python
Sarr,Bintou,FutureLab,Cybersécurité,Vélo,7,Bavard,Optimiste,Marron,Tacos,Ataya,C#
Gueye,Moussa,ConnectAfrica,Développement Mobile,Bricolage,4,Distrait,Adaptable,Turquoise,Poulet Yassa,Smoothie,Swift
Kane,Nafissatou,GreenEnergy,Cloud Computing,Lecture,11,Indécis,Communicatif,Bleu,Salade Composée,Eau gazeuse,Kotlin
Ndiaye,Souleymane,DataInsight,Data Science,Football,8,Émotif,Collaboratif,Vert,Thieboudienne,Eau,Python
Traoré,Hawa,HealthNet,Développement Web,Gaming,5,Pessimiste,Organisé,Jaune,Pâtes Carbonara,Jus d'orange,JavaScript
Soumare,Issa,AgriTech+,DevOps,Danse,2,Procrastination,Curieux,Noir,Riz Cantonais,Thé vert,Go
Diarra,Coumba,SafeCity,Cybersécurité,Voyage,9,Impatience,Déterminé,Rouge,Paella,Café,C#
Bâ,Amadou,UrbanFlow,UI/UX Design,Musique,6,Têtu,Logique,Blanc,Lasagnes,Eau,JavaScript
Diallo,Sira,FinTrack,Backend Dev,Cuisine,3,Perfectionnisme,Empathique,Gris,Crêpes,Coca-Cola,Java
Sidibé,Modibo,CyberGuard,Cloud Computing,Randonnée,0,Timide,Créatif,Orange,Tajine,Jus de mangue,Kotlin
Cissokho,Djeneba,RoboFarm,Intelligence Artificielle,Photographie,14,Rêveur,Fiable,Violet,Gratin Dauphinois,Bissap,Python
Toure,Moustapha,SkillBridge,Frontend Dev,Échecs,11,Désordonné,Optimiste,Marron,Soupe Pho,Ataya,TypeScript
Kante,Rokia,E-GovConnect,Gestion de Projet,Jardinage,8,Méfiant,Adaptable,Turquoise,Chawarma,Smoothie,SQL
Keita,Lassana,EcoSense,Blockchain,Course à pied,5,Impulsif,Communicatif,Bleu,Kebab,Eau gazeuse,Go
Fofana,Ramata,QuantumLeap,Data Science,Cinéma,2,Introverti,Collaboratif,Vert,Pizza,Eau,Python
Dabo,Abdoulaye,BioInnovate,Développement Web,Pêche,9,Bavard,Organisé,Jaune,Sushi,Jus d'orange,JavaScript
Deme,Aïssatou,AeroDrone,DevOps,Peinture,6,Distrait,Curieux,Noir,Burger,Thé vert,Go
Gallo,Kassim,MediCarePro,IA,Natation,3,Indécis,Déterminé,Rouge,Couscous,Café,Python
Jallow,Safiatou,FutureLab,Cybersécurité,Vélo,0,Émotif,Logique,Blanc,Tacos,Eau,C#
Badji,Demba,ConnectAfrica,Développement Mobile,Bricolage,13,Pessimiste,Empathique,Gris,Poulet Yassa,Coca-Cola,Swift
Mendy,Fatoumata,GreenEnergy,Cloud Computing,Lecture,10,Procrastination,Créatif,Orange,Salade Composée,Jus de mangue,Kotlin
Sambou,Samba,DataInsight,Data Science,Football,7,Impatience,Fiable,Violet,Thieboudienne,Bissap,Python
Gomis,Tenin,HealthNet,Développement Web,Gaming,4,Têtu,Optimiste,Marron,Pâtes Carbonara,Ataya,JavaScript
Sagna,Bachir,AgriTech+,DevOps,Danse,1,Perfectionnisme,Adaptable,Turquoise,Riz Cantonais,Smoothie,Go
Ndong,Ndeye,SafeCity,Cybersécurité,Voyage,14,Timide,Communicatif,Bleu,Paella,Eau gazeuse,C#
Dramé,Mouhamadou,UrbanFlow,UI/UX Design,Musique,11,Rêveur,Collaboratif,Vert,Lasagnes,Eau,JavaScript
Tine,Fatiha,FinTrack,Backend Dev,Cuisine,8,Désordonné,Organisé,Jaune,Crêpes,Jus d'orange,Java
Ndiaye,Cheikh,CyberGuard,Cloud Computing,Randonnée,5,Méfiant,Curieux,Noir,Tajine,Thé vert,Kotlin
Diawara,Sokhna,RoboFarm,Intelligence Artificielle,Photographie,2,Impulsif,Déterminé,Rouge,Gratin Dauphinois,Café,Python
Deme,Modou,SkillBridge,Frontend Dev,Échecs,9,Introverti,Logique,Blanc,Soupe Pho,Eau,TypeScript
Seck,Khady,E-GovConnect,Gestion de Projet,Jardinage,6,Bavard,Empathique,Gris,Chawarma,Coca-Cola,SQL
Sow,Serigne,EcoSense,Blockchain,Course à pied,3,Distrait,Créatif,Orange,Kebab,Jus de mangue,Go
Thiam,Maimouna,QuantumLeap,Data Science,Cinéma,0,Indécis,Fiable,Violet,Pizza,Bissap,Python
Diagne,Omar,BioInnovate,Développement Web,Pêche,13,Émotif,Optimiste,Marron,Sushi,Ataya,JavaScript
Sarr,Ndèye,AeroDrone,DevOps,Peinture,10,Pessimiste,Adaptable,Turquoise,Burger,Smoothie,Go
Sy,Babacar,MediCarePro,IA,Natation,7,Procrastination,Communicatif,Bleu,Couscous,Eau gazeuse,Python
Diawara,Awa,FutureLab,Cybersécurité,Vélo,4,Impatience,Collaboratif,Vert,Tacos,Eau,C#
Latyr,Astou,ConnectAfrica,Développement Mobile,Bricolage,1,Têtu,Organisé,Jaune,Poulet Yassa,Jus d'orange,Swift
Mame,Diariétou,GreenEnergy,Cloud Computing,Lecture,14,Perfectionnisme,Curieux,Noir,Salade Composée,Thé vert,Kotlin
Malick,Khadim,DataInsight,Data Science,Football,11,Timide,Déterminé,Rouge,Thieboudienne,Café,Python
Anta,Moussa,HealthNet,Développement Web,Gaming,8,Rêveur,Logique,Blanc,Pâtes Carbonara,Eau,JavaScript
Adja,Bara,AgriTech+,DevOps,Danse,5,Désordonné,Empathique,Gris,Riz Cantonais,Coca-Cola,Go
Fatou,Fatou,SafeCity,Cybersécurité,Voyage,2,Méfiant,Créatif,Orange,Paella,Jus de mangue,C#
Dubois,Jean,AgriTech+,Développement Web,Lecture,5,Impatience,Créatif,Bleu,Pizza,Café,Python
Diallo,Fatou,SafeCity,Data Science,Football,10,Procrastination,Rigoureux,Vert,Couscous,Thé Vert,JavaScript
Smith,Emily,EduBoost,Intelligence Artificielle,Gaming,3,Timidité,Patient,Rouge,Sushi,Jus de Mangue,Python
Martin,Pierre,FinTrack,DevOps,Coding,8,Têtu,Esprit d'équipe,Jaune,Burger,Eau Gazeuse,Java
Traoré,Mamadou,HealthConnect,Développement Mobile,Danse,2,Désorganisé,Curieux,Noir,Thieboudienne,Limonade Fraise,Kotlin
Johnson,Michael,GreenEnergy,Cloud Computing,Voyage,12,Bavard,Organisé,Blanc,Paella,Smoothie Banane,Go
Bernard,Marie,SmartLogistics,Cybersécurité,Randonnée,7,Perfectionnisme,Optimiste,Violet,Pâtes Carbonara,Jus de Pomme,C#
Sow,Aminata,AquaSense,UI/UX Design,Cuisine,4,Distrait,Loyal,Orange,Poulet Yassa,Chocolat chaud,TypeScript
Williams,Sarah,CyberShield,QA Testing,Natation,9,Gourmand,Empathique,Rose,Tacos,Infusion menthe,Ruby
Thomas,Antoine,DataVault,Blockchain Dev,Peinture,1,Colérique,Persévérant,Gris,Riz Frit,Eau Plate,Solidity
Ndiaye,Khadija,AIInnovate,Systèmes Embarqués,Photographie,14,Méfiance,Adaptable,Marron,Lasagnes,Coca-Cola,C++
Brown,John,SpaceBridge,Scrum Master,Musique,6,Susceptible,Communicatif,Turquoise,Curry de Légumes,Jus d'Orange,Python
Petit,Chloé,UrbanMobility,Product Owner,Échecs,11,Manque de Confiance,Sens de l'Humour,Bleu,Pizza,Café,JavaScript
Cissé,Alassane,EcoFarm,Data Science,Yoga,0,Orgueil,Autonome,Vert,Couscous,Thé Vert,Python
Jones,Jessica,VisionCare,Développement Web,Méditation,13,Indécision,Pédagogue,Rouge,Sushi,Jus de Mangue,PHP
Durand,Lucas,MediCareX,Intelligence Artificielle,Bénévolat,5,Impatience,Créatif,Jaune,Burger,Eau Gazeuse,Java
Keita,Fanta,EduStream,DevOps,Jardinage,10,Procrastination,Rigoureux,Noir,Thieboudienne,Limonade Fraise,Go
Garcia,Daniel,SmartGrid,Développement Mobile,Cinéma,3,Timidité,Patient,Blanc,Paella,Smoothie Banane,Kotlin
Leroy,Sophie,WasteWise,Cloud Computing,Pêche,8,Têtu,Esprit d'équipe,Violet,Pâtes Carbonara,Jus de Pomme,C#
Kone,Lamine,TravelBuddy,Cybersécurité,Course à pied,2,Désorganisé,Curieux,Orange,Poulet Yassa,Chocolat chaud,Rust
Miller,Olivia,AgriTech+,UI/UX Design,Lecture,7,Bavard,Organisé,Rose,Tacos,Infusion menthe,TypeScript
Camara,Omar,SafeCity,QA Testing,Football,4,Perfectionnisme,Optimiste,Gris,Riz Frit,Eau Plate,Ruby
Davis,Ava,EduBoost,Blockchain Dev,Gaming,9,Distrait,Loyal,Marron,Lasagnes,Coca-Cola,Solidity
Moreau,Hugo,FinTrack,Systèmes Embarqués,Coding,1,Gourmand,Empathique,Turquoise,Curry de Légumes,Jus d'Orange,C++
Touré,Aïcha,HealthConnect,Scrum Master,Danse,14,Colérique,Persévérant,Bleu,Pizza,Café,Python
Rodriguez,David,GreenEnergy,Product Owner,Voyage,6,Méfiance,Adaptable,Vert,Couscous,Thé Vert,JavaScript
Simon,Emma,SmartLogistics,Data Science,Randonnée,11,Susceptible,Communicatif,Rouge,Sushi,Jus de Mangue,PHP
